,TEY,NOX
3912,133.49,70.139
1294,111.71,87.533
6009,149.88,67.826
4727,143.88,52.547
419,129.68,64.796
4773,138.22,64.664
2916,133.82,62.3
6636,156.99,76.279
1106,154.75,73.622
3778,132.21,62.271
3345,102.68,56.837
5,114.72,82.409
6797,133.31,63.795
4683,147.39,54.987
2528,101.12,60.17
1697,133.39,81.342
5746,120.83,62.972
7359,128.65,68.059
5790,112.38,64.815
3427,110.72,58.464
3258,149.35,51.162
3885,133.78,63.238
7158,164.51,49.69
3173,149.25,60.716
7329,144.26,65.61
6604,124.25,64.344
4527,110.72,55.995
6356,122.62,72.423
993,123.14,77.93
3772,108.97,56.512
1573,134.41,59.579
642,122.0,108.26
2331,111.09,57.992
4859,107.02,52.104
5072,110.01,58.141
4968,133.19,60.533
4755,115.71,46.559
1712,133.76,79.04
2289,104.17,80.924
678,134.18,61.099
6844,123.42,61.167
6545,133.58,66.713
5313,134.52,59.003
4697,123.02,45.623
4812,135.01,70.714
162,162.39,62.916
6687,130.51,53.278
3377,134.64,65.586
3192,133.81,59.427
5498,136.76,66.038
6420,122.79,73.452
6373,122.96,72.558
5659,133.58,58.308
4112,133.83,64.216
67,134.64,74.198
1541,121.6,65.734
71,133.78,68.869
2884,153.47,64.821
7123,126.69,77.612
491,109.14,77.546
1514,155.73,77.008
2516,108.94,100.87
6845,133.71,72.856
1514,133.66,81.573
245,123.11,56.538
3574,133.12,66.347
4530,112.8,50.933
5550,150.54,55.55
4009,146.21,54.263
6419,133.98,69.468
6584,155.21,81.437
1987,157.27,69.251
3189,152.24,57.121
2386,135.54,68.58
6992,162.81,59.215
2707,109.58,70.778
6222,154.98,70.48
5465,110.01,56.421
6595,123.14,64.711
4276,147.92,54.187
7203,157.64,67.482
6412,122.35,74.857
2518,109.19,90.442
2411,134.25,70.05
6794,133.66,84.18
1208,133.53,64.085
436,167.54,74.755
2114,132.96,65.018
6781,108.14,55.466
6976,134.13,74.569
5924,134.29,88.078
3917,110.41,47.065
3639,133.58,63.558
3858,127.2,48.898
1068,162.34,71.241
117,164.73,66.369
6295,153.13,57.13
6836,155.17,75.53
6184,105.47,111.6
6718,134.08,77.403
1373,133.73,81.692
5112,133.61,61.363
6984,132.57,66.694
1892,136.32,71.327
2448,135.05,73.558
813,165.32,60.826
25,166.46,59.778
961,159.89,70.211
5304,134.17,60.736
1590,134.08,62.54
2868,134.67,68.481
1924,161.22,64.487
6517,129.89,58.579
4791,117.81,54.609
7477,134.63,79.416
3341,134.24,61.281
5376,150.21,55.851
6072,157.06,60.647
6430,111.69,74.441
374,160.45,64.699
198,134.12,88.247
5614,148.86,64.75
2579,132.74,69.345
5835,154.78,43.472
2797,151.39,58.484
5701,132.22,63.145
5804,151.27,59.787
6502,161.75,67.067
2171,151.54,63.432
5309,131.43,52.57
1170,113.02,85.195
5183,147.6,55.494
2641,108.17,49.265
3919,130.0,60.455
5548,149.61,57.908
2112,133.52,60.912
4787,133.79,60.063
4145,115.79,49.617
5533,133.65,82.368
4890,109.76,59.328
2099,126.1,70.655
1016,133.78,60.2
3489,128.11,53.145
1711,111.77,102.75
2268,122.73,66.076
4449,146.47,58.806
5410,148.64,54.228
5121,135.5,56.689
7028,133.1,71.715
4808,129.43,64.433
750,129.4,75.114
6228,154.73,57.551
1861,133.45,88.136
5920,135.01,90.971
5608,148.05,56.369
4354,128.19,51.44
1902,135.77,62.606
886,149.46,80.228
6036,134.03,69.964
7263,121.68,90.44
4157,146.75,54.872
5085,148.01,53.616
6024,109.78,63.583
4608,111.76,46.419
6774,114.53,81.132
5360,111.61,53.662
6056,108.67,64.372
2913,127.63,63.032
193,105.49,101.23
1257,133.5,86.46
1712,133.74,75.257
1536,108.21,62.117
2746,109.69,56.892
2044,132.65,74.726
5856,134.47,70.32
3559,132.07,59.935
660,134.34,87.192
2856,153.56,57.629
640,167.76,64.516
525,164.78,67.265
6527,162.55,66.364
5909,115.92,62.592
5591,150.54,54.373
1804,155.76,63.885
1375,109.43,81.315
1822,128.52,80.264
1805,132.98,59.738
1926,165.47,65.014
745,135.0,60.527
172,133.68,80.357
6267,161.36,46.884
4726,130.88,54.803
2514,158.46,61.744
657,134.66,85.183
6518,121.45,64.083
5866,109.04,69.176
6607,155.8,59.395
2983,147.94,59.205
7122,164.12,49.413
3215,153.06,53.532
2715,133.44,70.306
6190,133.56,61.441
1748,110.72,69.268
4291,129.75,49.938
6045,160.24,81.792
822,108.83,108.06
1346,133.65,60.38
399,110.13,63.612
1451,133.52,77.769
6574,158.43,65.371
3261,133.89,79.884
226,133.08,80.614
3604,132.78,65.403
1182,156.47,80.344
943,109.75,90.599
5507,134.32,82.42
4232,134.13,60.245
3231,150.27,54.938
2534,150.75,60.434
6810,117.41,59.236
1732,159.87,63.552
3439,133.67,64.027
380,132.12,64.511
4175,134.65,73.248
5880,110.54,71.517
5163,132.78,67.547
3575,127.51,63.976
27,108.66,105.86
5970,129.96,45.179
5450,122.88,57.788
6662,133.03,69.547
392,133.65,77.785
5909,104.79,91.159
5332,130.38,51.828
1828,124.79,75.995
6564,154.88,75.649
262,159.53,66.472
4141,135.64,61.81
3237,123.03,58.758
2315,132.94,60.771
1472,149.86,85.91
2723,131.88,66.902
5165,109.97,48.317
5973,132.03,64.268
1415,133.73,77.152
2891,109.01,49.645
7174,135.22,75.185
6113,109.25,57.885
7300,117.6,103.03
3964,134.31,62.961
2333,110.54,59.259
4484,109.86,47.011
2952,151.84,58.712
2487,108.77,64.042
7281,113.61,116.46
6627,115.48,70.692
3422,112.75,56.624
6274,150.58,62.275
4732,144.34,59.031
6865,132.02,63.268
1008,137.64,91.283
5971,127.1,46.413
3515,134.43,58.481
1701,158.8,62.688
413,151.14,82.685
4050,147.58,55.724
7117,158.69,76.926
4186,133.84,66.713
1831,132.15,59.053
4271,148.54,56.28
5004,133.66,71.589
2060,130.84,67.739
2888,133.78,64.486
6262,152.83,42.91
5474,148.94,55.148
274,164.27,60.262
6284,134.75,74.662
5615,148.87,54.563
5409,112.77,59.308
1605,150.51,74.958
4639,133.58,59.091
6,110.53,97.125
3725,134.31,60.809
6889,133.42,68.848
768,131.6,77.195
3381,133.62,65.701
3570,151.49,48.395
1841,135.64,61.394
4116,150.91,57.096
6272,132.64,70.024
587,164.23,72.445
1014,133.77,61.246
3584,128.38,68.88
6390,130.13,53.978
206,133.76,78.971
4782,134.62,57.329
5407,133.85,66.599
5420,147.89,55.552
6428,121.01,63.929
1077,131.79,69.4
5891,127.75,49.316
5220,131.97,54.646
5078,139.74,59.439
472,131.07,66.481
7310,166.49,48.858
2438,133.63,76.239
3999,135.1,64.148
5432,147.39,49.171
2336,133.81,67.762
3613,132.87,58.501
5938,133.59,93.431
3906,147.68,48.772
4135,118.65,61.488
1024,134.21,78.601
4187,122.59,67.149
175,167.69,59.758
2747,106.74,56.061
2732,109.74,60.571
4062,143.88,53.051
62,164.28,69.301
6344,123.12,74.449
2402,110.74,71.033
6958,105.05,99.238
5557,133.73,62.772
7206,115.31,95.55
3937,147.49,52.069
1329,109.59,113.29
6619,112.31,81.936
1513,155.58,75.259
6193,101.88,94.128
3090,136.71,69.777
1644,133.11,64.336
1307,133.47,60.308
4064,135.8,66.617
398,155.29,76.633
7038,133.28,77.247
6825,124.45,62.762
2891,130.33,55.178
6396,127.29,63.212
4239,148.0,53.371
2671,109.61,50.876
2214,135.38,61.364
279,134.08,59.977
6924,133.64,68.966
7377,120.71,87.146
6779,133.78,64.788
6637,129.27,51.42
5250,145.9,54.646
884,133.2,83.713
4433,146.55,56.346
4901,122.19,47.896
4107,123.76,55.282
3569,128.29,47.247
2652,133.13,59.865
837,130.75,83.363
3426,139.46,58.211
4696,118.05,47.783
146,176.91,53.308
6572,109.3,61.1
6386,128.76,63.721
7420,162.66,67.552
5607,109.38,55.85
5659,111.2,49.07
3022,133.8,63.107
2755,111.05,61.807
5000,134.26,56.964
2783,102.23,70.208
5570,134.12,59.667
6600,110.41,70.048
4972,111.74,55.851
3847,108.28,43.792
1347,164.51,69.898
3310,133.9,74.187
4419,133.72,71.345
4825,130.1,51.282
2255,132.48,71.976
6643,162.46,62.887
600,135.38,80.359
3058,109.15,54.95
5584,135.15,69.714
4098,147.76,53.062
5347,122.13,51.744
3501,133.41,61.943
467,107.93,72.344
1361,133.04,60.38
2021,132.79,82.573
5391,109.76,67.285
2573,133.41,71.921
6110,102.52,99.658
1335,133.96,61.754
5713,147.64,71.886
1879,134.21,72.388
1904,117.41,65.093
6587,130.18,56.77
2998,136.03,56.344
6205,109.23,69.284
4207,146.75,55.247
2331,114.36,76.056
3262,133.79,64.102
151,133.67,81.863
5549,136.39,59.245
4223,147.73,54.053
4312,142.23,60.96
6963,129.67,74.158
593,135.76,61.667
6866,156.21,49.869
3945,149.23,47.268
3631,151.05,48.171
66,144.48,70.06
4753,111.82,49.565
3019,154.98,58.748
4614,132.71,74.738
5696,119.93,68.925
519,133.67,84.532
1524,133.79,69.752
6226,128.5,63.355
5136,133.53,62.885
2136,133.6,72.313
2863,133.81,70.768
3856,119.08,44.948
301,134.52,57.242
5026,111.54,51.004
6214,130.34,56.802
81,142.24,75.028
1418,152.57,88.959
5447,147.14,55.249
6936,132.34,69.725
4764,131.42,64.562
5855,134.98,73.128
2428,153.94,71.217
5893,151.77,59.313
5942,121.69,60.369
3710,128.7,47.205
798,109.21,104.14
7327,135.12,84.443
3490,133.77,61.941
5377,133.71,64.213
3588,133.79,64.973
1980,110.47,83.275
2985,134.0,61.023
270,161.98,60.454
3311,152.31,51.463
5560,109.8,53.8
4349,149.3,59.052
3046,109.9,66.762
2310,134.9,70.099
7276,133.21,80.517
1738,111.02,92.95
4460,147.09,58.144
3689,133.38,61.606
4111,147.26,55.712
3449,109.85,57.179
2592,110.3,61.434
2363,152.06,61.867
7357,133.11,82.463
6474,131.37,57.487
4663,134.09,62.198
2958,126.25,53.676
5039,133.14,61.638
5476,110.79,58.844
5920,134.14,62.973
4429,147.21,54.41
4601,110.84,46.593
5874,152.02,59.399
2388,135.16,71.279
4346,131.86,59.933
2302,111.73,62.849
5149,109.01,51.653
588,161.84,65.286
1451,111.6,75.538
3277,152.18,51.636
1165,131.49,66.759
5545,119.93,58.41
5800,140.15,66.326
3822,134.01,64.716
4448,133.88,64.105
5236,132.86,61.591
6163,153.58,75.597
5250,111.75,62.539
3846,109.74,54.695
3789,133.79,72.293
5546,111.4,56.463
4625,110.75,52.579
656,135.29,61.079
6535,165.71,65.11
5432,110.76,60.588
285,120.98,58.145
395,155.37,74.769
3531,152.77,47.372
6220,134.67,85.56
3282,109.82,48.975
4393,133.84,71.736
1393,136.8,68.673
7474,110.38,109.23
2231,156.74,68.873
3812,110.58,42.168
4713,119.64,44.759
7407,113.69,105.21
1059,112.09,104.54
702,133.66,84.207
3264,132.79,70.209
5569,134.51,61.224
497,135.99,64.125
303,111.72,108.14
6727,161.51,62.477
5018,134.46,73.682
2555,132.95,66.62
2236,132.73,60.267
3594,110.8,48.422
1119,133.26,83.01
5178,131.28,57.035
6804,133.63,77.343
5412,133.69,58.284
5734,131.79,65.208
1180,155.91,85.006
4720,133.84,65.41
2210,108.93,86.44
6834,121.68,64.254
2092,137.91,59.307
2374,132.55,71.838
4621,111.75,53.711
4031,134.9,58.873
2496,135.1,60.759
751,132.67,83.24
402,133.69,77.981
1134,158.7,77.212
827,133.9,77.006
633,134.3,83.517
3092,112.15,58.819
7186,161.52,48.446
528,163.96,78.256
5958,131.05,50.67
5209,144.5,53.798
7220,166.9,64.09
689,162.75,66.696
3543,127.83,59.835
3234,134.33,65.455
6816,133.61,73.922
5576,134.41,61.652
5852,120.43,57.113
5818,146.74,64.1
2594,121.87,54.914
4942,109.91,48.231
5629,146.96,54.372
4434,114.56,49.625
3952,133.36,63.231
4127,135.19,60.34
745,119.91,78.696
3491,126.29,54.697
2749,109.83,57.517
2381,135.13,63.46
2966,133.79,61.132
6773,150.93,61.401
2383,135.73,61.637
272,120.07,117.73
4088,134.84,65.323
4286,146.37,55.587
2126,127.61,64.495
4004,148.94,53.663
2090,125.63,82.151
509,130.24,69.721
4414,109.47,49.546
1311,134.2,76.863
6341,153.23,81.691
1212,159.99,69.853
6702,158.45,68.452
956,164.35,65.599
4109,133.84,73.11
5087,148.5,52.124
449,131.23,65.761
4606,110.35,46.277
4541,107.93,49.773
1011,132.22,78.576
523,133.39,84.4
3004,152.82,60.586
5462,111.7,65.267
3012,120.9,64.005
4914,123.39,46.649
3305,134.48,64.777
2648,132.17,69.197
1473,133.12,82.466
3881,133.72,62.684
672,165.89,68.507
3099,134.0,71.781
4013,133.55,61.727
6016,135.11,66.637
7032,163.91,68.978
2950,151.63,66.551
5906,109.68,75.115
1716,134.04,73.138
5869,121.31,56.733
1090,109.34,75.142
454,134.32,89.697
1559,158.64,63.315
3345,135.37,61.088
6314,132.65,68.78
6076,130.45,58.723
3214,147.0,59.394
4078,135.06,60.738
6710,142.38,53.964
7375,167.04,47.37
6330,151.17,77.911
2095,132.64,58.451
6631,144.76,65.748
5530,130.89,43.695
4487,133.77,72.802
6450,161.8,65.461
7127,159.86,71.305
4023,153.57,53.706
5066,130.36,55.3
2527,154.45,59.149
3152,106.39,50.109
5555,129.71,57.787
4162,148.37,53.446
4915,140.14,56.499
2172,133.5,74.684
3110,147.8,61.468
2691,132.48,59.597
3393,139.29,52.05
113,160.38,67.769
4019,134.88,66.951
3676,147.76,50.249
2313,132.22,70.055
1444,133.71,72.89
7078,162.96,69.073
6319,131.25,55.845
5845,129.53,47.525
2951,151.6,59.688
5682,144.96,61.734
3028,133.14,60.277
5634,139.19,64.604
4243,133.36,59.896
5967,134.49,63.554
2427,119.49,70.426
3113,149.73,54.809
2812,148.08,64.866
7254,130.67,67.096
3141,109.35,57.79
2528,152.59,59.584
5350,109.8,51.366
6139,117.3,59.771
6200,103.8,111.89
6399,122.87,60.678
2673,154.39,60.39
238,164.83,58.366
1912,142.91,64.372
6066,130.54,57.421
4238,128.89,52.509
5324,133.73,61.942
2195,156.26,64.902
4509,147.96,54.136
1280,124.01,76.299
5773,156.44,50.162
1866,134.93,69.836
5584,149.49,52.694
1033,163.56,63.807
4270,133.97,69.128
3299,110.67,61.218
7571,134.21,72.728
5652,133.21,61.949
7131,110.74,76.568
3266,133.82,68.527
1643,132.93,63.815
5455,134.15,63.361
3523,133.15,64.865
3054,151.75,59.274
816,159.45,69.701
6735,109.58,63.831
416,149.54,81.474
1854,132.76,72.173
2957,140.34,54.959
6949,133.61,58.701
1074,134.66,73.876
5277,148.09,55.829
6731,166.07,65.405
6556,130.22,56.737
1639,121.92,75.751
805,156.42,72.956
6138,134.68,61.762
847,109.6,85.586
4293,146.32,56.593
5161,132.82,65.994
5146,146.13,50.176
5558,134.06,74.876
2931,133.7,74.227
6518,154.26,78.066
1391,137.57,69.755
5420,116.85,46.733
1449,133.94,74.828
1362,132.67,60.38
7248,106.91,86.495
879,122.29,74.814
4667,134.18,64.709
6268,131.11,54.881
2393,141.06,61.039
5007,127.8,50.642
1337,166.45,60.38
1591,136.86,67.355
1829,132.83,59.664
5415,119.75,47.37
4932,123.22,46.517
6913,149.98,55.797
2286,153.57,67.614
5106,110.07,45.577
3074,152.51,53.378
4584,129.08,52.226
2746,134.24,59.391
2690,151.23,57.966
2474,133.94,64.252
6025,133.22,60.868
5449,133.76,69.181
6110,131.62,58.666
2835,133.39,56.095
4018,117.01,62.085
1391,134.64,59.481
4121,109.6,51.898
7367,133.8,80.242
1228,134.12,62.096
2916,133.51,66.293
603,130.58,63.614
6375,129.81,62.457
4670,133.81,60.851
2849,140.48,54.777
5612,133.75,58.497
6579,129.09,72.502
1347,130.8,78.276
1230,129.87,66.265
2836,132.76,61.139
5320,109.56,50.805
1090,136.38,60.497
4201,133.34,57.629
1938,111.67,70.118
7300,131.22,59.538
398,133.15,67.755
4957,108.75,57.205
2005,134.12,87.8
6184,102.82,94.3
959,162.55,56.391
6128,126.63,59.53
4334,129.27,51.323
1295,110.58,93.842
5187,133.81,67.019
4157,146.77,57.547
1727,111.26,69.203
926,108.81,78.452
6640,132.47,62.321
6408,131.43,61.583
5095,140.96,63.836
142,115.31,80.947
4,126.56,66.499
1311,163.37,67.029
6399,122.98,70.719
6167,131.95,63.335
4941,122.64,46.783
1667,111.7,70.673
6890,133.73,74.182
1574,108.34,93.284
6529,109.38,80.445
2908,110.73,56.664
868,134.19,66.187
3191,109.35,62.139
5336,109.74,54.185
18,160.84,67.361
5161,110.03,56.955
5294,147.79,53.678
7393,168.74,67.549
3069,150.58,52.126
2024,136.25,69.583
3150,109.14,54.863
1602,133.68,75.463
4352,109.32,53.308
4598,111.75,52.632
4828,132.72,60.966
6884,132.29,68.728
4788,130.92,60.258
963,110.29,55.449
3234,115.84,60.3
4559,110.3,49.542
2297,133.65,72.292
6082,151.47,77.328
705,123.19,64.52
6817,122.47,59.895
275,133.67,76.808
1475,136.94,64.773
1517,134.92,66.63
877,121.82,75.107
5869,133.02,72.251
2678,109.56,68.61
6960,144.32,80.753
6524,115.84,94.116
7021,123.21,99.386
339,168.6,57.272
4113,149.23,55.013
5399,131.44,58.117
5693,133.94,65.744
7056,132.83,73.202
6986,129.8,65.409
2507,110.75,65.89
1566,132.36,77.672
5219,131.5,54.471
958,132.76,77.411
5212,133.82,60.362
6184,110.28,62.056
2991,127.22,53.641
1818,133.76,70.107
2824,140.2,56.12
2295,132.91,58.727
3879,128.63,45.125
6865,153.64,52.643
1409,136.14,61.693
5524,130.95,40.297
5690,131.19,48.647
6422,130.48,58.236
6034,149.97,66.25
1114,161.85,72.642
5642,150.18,70.612
2786,130.35,60.231
342,158.38,73.313
6888,145.9,66.083
6535,122.27,68.328
1483,138.15,65.106
2595,158.26,61.159
2214,153.72,68.883
5700,156.06,68.258
4621,140.49,67.605
6492,152.1,72.283
3533,133.81,61.242
1881,134.7,59.468
511,133.08,61.934
963,154.34,67.632
4158,129.06,50.987
3525,134.0,63.618
502,129.77,71.207
7169,134.67,73.847
4083,144.12,54.214
1007,132.08,73.424
2485,108.96,62.748
1646,109.15,73.907
7352,133.75,74.01
3238,109.53,57.971
4781,149.22,54.839
7026,127.0,66.59
5373,133.79,65.12
5932,103.79,83.051
406,133.54,70.659
3034,147.54,61.536
6665,123.07,73.678
2262,133.74,66.973
930,134.33,60.777
1477,134.01,60.721
5238,133.61,62.537
6344,134.83,63.096
7009,133.76,71.046
1299,160.11,67.533
1226,133.92,63.204
3753,110.3,46.179
3568,150.73,47.361
2370,154.63,60.44
3934,134.14,58.518
4528,146.33,55.373
4763,130.84,61.79
3079,118.55,54.932
4230,128.21,48.332
2259,159.04,63.738
6429,130.62,53.413
3117,107.64,58.538
927,108.77,79.623
6096,154.68,67.671
602,167.26,70.174
5034,130.72,56.916
297,158.35,63.917
5992,119.84,54.579
5618,118.38,56.571
3091,151.42,62.768
6700,150.58,52.472
1892,156.75,64.812
5177,131.19,56.779
135,119.04,80.448
2956,151.07,54.935
2479,133.33,63.036
4313,133.03,64.727
1597,133.91,64.159
6327,134.07,61.628
6710,133.35,63.723
4855,135.14,63.839
63,113.69,76.802
7230,154.29,77.779
3435,129.09,49.039
1530,134.35,58.413
3438,133.63,64.191
3206,135.09,64.857
4822,111.81,55.531
7622,134.86,75.999
2656,156.39,65.925
6334,112.68,82.346
4191,135.06,65.705
6538,108.93,76.699
4008,145.42,56.137
1389,134.18,63.79
6501,103.37,88.075
5309,133.85,62.338
3295,133.82,61.902
2163,133.69,60.027
6224,130.54,61.124
653,134.45,85.455
4038,146.25,53.827
6140,109.13,62.706
7041,161.74,71.156
7146,134.68,71.49
6152,131.59,57.011
4150,144.48,53.239
5470,133.52,67.771
1379,110.05,78.654
1791,103.54,94.65
3200,110.14,52.368
5155,111.82,53.669
6839,161.28,65.513
7591,162.76,59.809
4545,113.12,52.969
4051,137.66,62.62
3365,128.61,47.223
5311,132.13,51.643
6011,110.34,59.002
4630,133.81,53.373
4891,123.3,62.681
2471,133.48,63.764
3557,121.1,54.032
7086,130.22,61.939
2941,109.73,50.09
980,133.96,78.772
4918,133.76,62.915
5500,124.26,49.46
6532,109.11,85.035
4306,134.38,66.688
2180,109.47,70.255
4919,133.79,63.196
7484,134.04,76.457
5581,114.31,55.134
965,134.35,76.941
7040,158.71,59.777
7283,115.65,97.853
3033,133.27,71.678
2871,133.73,65.421
1345,124.62,77.712
5016,133.94,61.868
27,160.37,84.028
979,133.66,80.75
1404,133.86,61.396
490,133.16,74.792
1747,110.73,70.948
6456,109.72,60.265
7063,164.0,60.911
7160,166.61,48.844
2977,151.79,68.918
3698,130.66,47.977
568,130.01,66.796
693,112.53,89.135
855,126.71,81.68
3995,147.8,54.399
2100,135.74,60.513
6695,133.69,63.209
2793,124.52,63.39
5990,152.69,85.653
1026,163.24,84.317
5980,135.63,67.113
5285,133.96,63.131
2581,132.73,69.688
1367,126.3,77.868
676,133.52,62.697
5176,110.86,48.448
5256,148.05,59.812
3838,133.76,66.661
1978,134.56,66.484
675,132.53,84.81
4554,134.78,57.816
1695,134.7,62.105
6947,135.68,76.734
1154,109.65,101.72
5183,143.07,55.212
2743,133.18,66.936
2640,108.44,49.179
7272,124.49,89.444
3386,110.8,55.18
4715,122.55,46.87
5353,130.56,53.443
169,170.57,75.953
259,158.46,66.588
254,155.7,71.364
109,134.66,69.01
5503,133.76,62.109
2034,133.33,71.595
3852,133.94,68.221
6235,133.72,76.907
1430,111.63,77.287
6650,136.24,66.705
116,133.74,76.234
2132,134.57,68.555
261,134.07,81.52
7105,161.73,49.256
7315,161.32,64.213
2138,134.38,71.6
2504,133.67,65.56
5881,110.58,69.227
3033,153.28,55.993
102,133.96,75.424
2679,115.73,51.264
22,134.11,86.607
974,110.05,76.75
1236,132.71,74.618
1717,133.95,62.782
6431,133.02,64.463
6397,154.17,72.536
54,109.77,93.735
5662,154.55,60.851
5420,132.85,65.03
2157,133.66,67.936
996,112.47,81.368
2538,133.78,73.393
2303,135.1,73.555
5051,134.67,63.165
544,163.02,64.302
2046,108.41,60.409
2250,162.09,62.674
7327,143.86,65.002
326,159.97,65.706
458,145.02,83.74
6768,117.04,64.324
6160,111.01,58.147
3190,133.8,64.244
5814,116.46,66.14
4954,144.29,52.737
26,125.76,83.447
4009,134.02,63.773
6303,112.07,56.181
4358,134.76,61.566
5666,133.73,58.961
341,169.29,56.718
5285,109.15,50.041
6597,132.34,65.549
4955,109.11,57.129
1763,132.52,64.799
3118,147.25,50.25
1284,133.3,76.922
4584,143.14,58.99
3525,151.3,49.11
3488,132.8,69.533
6674,134.63,61.46
189,156.79,65.402
6384,109.92,63.399
1721,133.81,74.71
4139,149.06,57.321
2240,133.58,65.216
1338,167.86,60.38
2766,153.14,57.491
5748,134.22,72.45
946,109.96,79.034
2079,132.68,71.985
1747,134.55,61.313
185,133.77,79.455
441,106.4,80.55
7367,159.51,48.3
79,134.32,77.305
5524,134.73,65.329
4038,132.94,61.278
399,134.7,77.148
2045,133.69,74.559
898,134.21,64.405
2076,132.69,90.277
6621,108.2,55.131
6476,152.41,76.489
7296,132.86,78.132
4393,148.02,54.311
472,132.31,70.831
4527,133.43,59.461
4114,134.32,65.332
1095,109.55,75.122
1708,104.55,114.48
1570,132.94,63.393
4676,133.75,65.435
2767,133.91,63.322
5486,133.68,62.9
1047,161.64,62.992
6149,160.61,65.84
819,133.66,79.694
678,133.2,86.747
6842,134.61,66.707
2367,110.24,61.538
4473,128.12,54.066
4146,146.91,56.014
6782,120.77,67.78
2773,133.82,68.841
6959,109.72,75.364
6129,160.23,66.711
994,133.54,60.715
5985,151.49,64.609
3778,134.42,60.334
426,130.5,66.07
1824,158.55,77.43
6159,110.55,60.634
5738,132.26,47.209
2792,102.45,103.64
2135,133.66,70.867
1136,129.93,66.456
3920,121.57,56.474
2454,134.56,62.245
4974,134.13,63.88
6968,112.59,79.882
3382,141.24,56.79
6423,157.29,76.188
4406,135.88,65.744
432,158.15,64.414
3920,128.16,42.814
5877,151.09,61.589
4679,133.76,64.261
2016,132.5,67.806
1424,109.68,66.618
807,160.23,69.984
2396,109.05,85.047
6971,111.42,87.362
1131,130.93,68.947
226,168.18,57.834
3178,128.8,50.705
4016,111.05,61.4
1137,161.26,70.938
577,133.25,60.266
690,161.62,72.533
2418,130.9,76.134
5033,110.85,51.138
6653,127.2,81.231
3556,152.74,48.585
3418,135.31,57.873
1071,134.81,76.212
2356,114.62,58.389
6021,145.05,75.376
4070,111.81,50.77
4820,111.83,55.151
6819,133.74,64.315
3893,127.91,42.721
6482,130.7,56.567
526,163.03,79.278
5041,129.33,55.206
112,135.04,77.558
6043,150.25,64.633
845,114.75,63.863
486,162.63,67.247
5297,147.96,52.814
4004,133.83,55.183
2712,154.49,58.023
4111,133.85,67.489
7312,166.39,50.256
1481,110.72,77.082
1727,161.47,70.727
4818,125.86,62.112
6544,123.84,66.161
1171,109.07,88.09
6644,110.07,54.976
4264,147.16,54.363
1050,161.26,66.695
4217,147.3,53.74
6223,152.8,94.184
5477,150.9,55.44
773,109.12,69.332
6020,126.27,57.397
822,110.8,69.718
3882,132.81,63.885
742,134.3,60.65
4417,129.58,49.461
2440,134.69,64.674
3930,109.82,51.187
5797,135.64,73.423
5745,110.03,63.173
6465,159.34,60.124
2737,154.47,58.131
1676,129.85,84.121
2298,110.24,60.543
5993,119.34,57.168
5656,133.74,60.417
6287,131.18,55.929
6941,163.38,39.858
6138,156.92,66.067
4387,148.2,51.598
3770,134.06,60.632
2747,135.89,59.981
3918,128.99,42.254
7323,154.53,69.412
5857,107.61,63.237
945,134.73,64.579
6800,122.01,68.334
547,162.82,77.515
4464,135.12,72.338
519,134.71,75.683
7186,132.7,79.048
1554,108.95,62.349
2119,133.44,73.134
6189,100.63,107.48
6906,133.44,68.568
1759,133.35,65.888
6848,131.25,60.996
3029,147.66,60.189
6444,134.72,74.631
1385,131.21,80.158
3226,144.11,57.97
7360,133.62,73.048
42,165.35,63.731
6492,130.46,61.105
4409,133.95,66.322
6263,156.24,61.116
7038,131.71,60.258
3190,148.92,60.371
7182,163.3,49.21
3265,150.65,59.576
7468,133.64,77.14
1765,133.09,77.17
464,115.44,72.425
4713,111.78,56.621
1496,134.52,62.305
7235,160.29,49.63
5750,130.88,46.139
3742,133.22,62.061
998,112.94,86.822
2035,133.1,64.194
6071,129.92,57.503
4377,110.47,52.093
5328,134.31,64.491
4201,144.97,63.118
1341,168.94,60.38
2625,109.22,47.45
1118,163.01,68.705
1269,129.25,70.331
824,110.31,98.397
71,134.55,77.096
7301,131.91,60.666
6589,134.89,64.927
1937,133.49,66.151
6447,152.01,76.513
4526,119.33,45.134
3637,134.6,58.862
3367,133.7,70.51
5757,133.18,57.8
256,160.11,65.506
3998,130.29,50.804
6822,124.45,62.36
2726,109.6,62.896
3566,134.13,60.656
1720,107.42,71.461
814,143.5,81.656
5627,141.26,68.754
7307,128.48,69.277
1520,133.75,68.859
3878,128.11,44.252
6250,152.77,64.125
1075,134.01,81.703
6794,130.4,53.857
5115,103.85,48.855
196,134.05,65.074
3975,133.89,59.389
5195,133.59,65.286
4885,109.72,57.185
4199,144.14,68.603
1372,133.09,79.977
6204,155.64,69.886
1871,111.65,71.225
7476,133.55,79.754
884,116.68,92.529
2,125.88,88.147
2800,128.1,61.447
6742,158.84,63.706
208,164.23,71.883
2813,108.31,59.419
5386,146.26,50.63
2055,110.32,62.373
657,134.92,59.858
3311,146.46,59.119
2732,155.11,59.551
3787,135.34,68.767
5573,130.7,51.029
791,134.46,73.306
797,135.29,61.275
6449,152.6,75.052
6072,126.33,56.762
30,135.72,85.056
3531,133.83,65.322
5498,111.8,61.787
6560,154.63,63.126
4958,149.83,49.1
887,134.44,64.743
2535,152.41,60.081
1326,159.61,71.868
